區域,餐廳名稱,地址,菜系,電話,圖片,推薦類型
台南,黃家蝦捲,"中西區西和路268號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 350 6209,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/cc214fead78e4b97a797882b10bea799.jpeg,必比登推介
台南,誠實鍋燒意麵,"中西區西門路一段702巷12號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    麵食",+886 968 617 018,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d30e4f78e0a34ce28c0c59f939b88498.jpeg,必比登推介
高雄,廖記米糕,"橋頭區橋南路119號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 612 8319,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f18292f2bfa24462983fb44fd00cf85c.jpg,必比登推介
台南,黑琵食堂,"七股區十份里海埔17之18號, Tainan, 724, 臺灣","$$
                                    ·
                                

                                
                                    海鮮",+886 928 300 155,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a9a068724dc7494da88708fbeacae4d2.jpeg,必比登推介
台南,阿裕牛肉 (崑崙路),"仁德區崑崙路733之1號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    火鍋",+886 6 279 5500,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b315f22b0e594070a68dd6a2bef0e685.jpeg,米其林推薦
台南,謝掌櫃,"安平區運河路23巷5號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    小吃",+886 6 221 3215,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/69b4f877639a404aa3f92c9dd15ced5c.jpeg,必比登推介
台南,香草小餐酒,"安平區永華路二段950號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    時尚歐陸菜",+886 6 299 0011,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6e11baa45df647d4ab6736333539bdc6.jpeg,米其林推薦
台南,毛蔬,"東區府東街43號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    素食",+886 6 209 4699,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/bbfe801b08344e55b8f3014e06c5d4d4.jpg,米其林推薦
台南,沙淘宮廟海產,"中西區西門路二段86號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    臺灣菜",+886 6 228 8321,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/fc1d8bb2e3c54c4c923e13a6cbbd193f.jpeg,米其林推薦
台南,阿星鹹粥,"中西區民族路三段289號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    粥品",+886 6 220 0941,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/fd8f169affc348fd99e584956e60bb5f.jpeg,必比登推介
台南,一味品,"中西區國華街三段177-179號 (永樂市場攤號111及112), Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 228 8563,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/24171b99cc9246f2b807a5264f395433.jpeg,必比登推介
台南,開元紅燒土魠魚羮,"北區開元路307號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 237 3195,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1573f0a6bc944a018e2808e7da4575e7.jpeg,必比登推介
台南,西羅殿牛肉湯,"北區公園南路98號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 229 4056,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5e9d8315005b44a3b544ff7d20a67f32.jpeg,必比登推介
台南,阿村牛肉湯 (保安路),"中西區保安路41號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 229 3908,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5d06294d9d654501999f5bc641d2f6d2.jpeg,米其林推薦
台南,牛五蔵,"安平區建平路577號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    火鍋",+886 6 297 0709,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6d922499b6584a4e94586021172375f2.jpeg,米其林推薦
台南,順德牛肉湯,"學甲區民權路59號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    小吃",+886 6 782 0161,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/596c057701684792b9019844676e5bda.jpeg,米其林推薦
高雄,橋仔頭黃家肉燥飯 (橋頭),"橋頭區橋南路106號, Kaohsiung, 825, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 612 3253,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e10ea55c7808415d8e7edd92621e4679.jpeg,必比登推介
台南,三好一公道當歸鴨,"中西區府前路一段2號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 220 6858,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a766d15a9295435b8327366416340d35.jpeg,必比登推介
台南,橄饗家,"安平區安北路590號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    西班牙菜",+886 6 391 1687,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/efccf24890364e319106c32f91306576.jpg,米其林推薦
高雄,湖東牛肉館,"湖內區中山路一段107號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 693 0466,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6aaa699576b74b9cae61f42107071e94.jpeg,必比登推介
台南,大勇街無名鹹粥,"中西區大勇街85號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    粥品",+886 6 226 7028,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/067fbbaa26264b2898785ddcc7666733.jpeg,必比登推介
台南,甘旨,"東區崇仁街58號, Tainan, 臺灣","$$$$
                                    ·
                                

                                
                                    日本菜",+886 6 267 8818,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0ce9d50cdad24690b4b0cbc7d34602f1.jpg,米其林推薦
台南,錦霞樓,"東區中華東路一段366號2樓 (南紡購物中心), Tainan, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 6 300 6789,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ad13cb63f19f48deacc720a735ced1a8.jpeg,米其林推薦
台南,阿美飯店,"中西區民權路二段98號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 6 222 2848,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/08473715b59946218eaf3c4eb4d1bb39.jpeg,必比登推介
台南,阿文米粿,"中西區保安路74號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 906 884 704,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a6d964236b4b4df2a1a4e3585c7cfd71.jpeg,必比登推介
台南,有你真好 湘菜沙龍,"中西區五妃街203號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    湘菜",+886 6 215 7977,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/699d2fbd808c41bf958adc673f807835.jpeg,米其林推薦
台南,筑馨居,"中西區信義街69號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 6 221 8890,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8b9ba087c50e40aa96b1d3c4ab768266.jpeg,必比登推介
台南,吃麵吧,"中西區保安路159之1號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    麵食",+886 6 223 1665,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e5a7fd287e88405b950c257811219058.jpeg,必比登推介
台南,好農家米糕,"南區健康路二段66號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 221 7181,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b965d154467e41ea9891a2cdeb553c26.jpeg,必比登推介
台南,無名羊肉湯,"中西區府前路二段144號, Tainan, 700, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 934 130 019,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0a3442af11fc44acbdc543b03746a3a5.jpeg,必比登推介
高雄,溫度劑,"岡山區公園東路50號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    創新菜",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8d07577eb03b4b45bc7eaabf6ab6fb8d.jpeg,米其林推薦
台南,城邊真味炒鱔魚專家,"東區東門路一段235號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    小吃",+886 6 209 1235,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d346227ac86f4b7797c38e44edd44253.jpeg,米其林推薦
台南,饕弄杯,"東區東榮街115巷47號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    時尚歐陸菜",+886 6 237 0355,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b7f23ce765ed4623bfed6e8890098140.jpeg,米其林推薦
高雄,舊市羊肉 (岡山),"岡山區河華路111號, Kaohsiung, 820, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 625 8151,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/25e90f760cdf40bc81dfc6fd37d19b73.jpeg,必比登推介
台南,豐之海鮮漁府,"將軍區長沙里146之10號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    海鮮",+886 6 793 0637,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e29e3cbb78e54c6c92a4f5fb40439d06.jpeg,米其林推薦
台南,田媽媽 長盈海味屋,"北門區三寮灣慈安里484號, Tainan, 727, 臺灣","$$
                                    ·
                                

                                
                                    小吃",+886 917 549 736,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f602571ac0f2447da9685d489889862c.jpeg,必比登推介
台南,落成米糕,"中西區民族路二段241號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 228 0874,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1a4e5826a81543f9abcb75de372ecbd4.jpeg,必比登推介
台南,東香台菜海味料理,"安南區安中路六段217號, Tainan, 709, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 6 257 3888,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b62f36409a7346e3b82e1b25a23f18b0.jpeg,必比登推介
台南,小公園擔仔麵,"中西區西門路二段321號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    麵食",+886 6 226 5495,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6d31804a7e874087abcc23ed641718ef.jpeg,必比登推介
未知,天婦羅 杉村,"中山區樂群二路199號2樓 (中城廣場), Taipei, 臺灣","$$$$
                                    ·
                                

                                
                                    天婦羅",+886 2 8501 1157,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4c9b579489d04189a09081232dd286ea.jpg,米其林推薦
未知,鮨 嘉仁,"中山區吉林路28號, Taipei, 104, 臺灣","$$$$
                                    ·
                                

                                
                                    壽司",+886 2 2581 8999,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c225ae25fa834e87a408fc1d58ff5c05.jpg,米其林推薦
未知,同,"中正區館前路22號2樓 (正旅館藍), Taipei, 臺灣","$$
                                    ·
                                

                                
                                    粵菜, 時尚菜",+886 976 684 366,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/91187013afd547e886b960ad994e9069.jpeg,米其林推薦
高雄,白玉樓,"前鎮區中華五路789號6樓 (夢時代), Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 841 8555,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c95b690315fa4afebdc5c0b14de1f8d6.jpeg,米其林推薦
台南,蓮霧腳羊肉湯,"新化區中正路361號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 937 789 004,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3e0b59548cfe428eb686593d8e6a4dce.jpeg,米其林推薦
台南,繭 小料理,"中西區府前路二段206巷6號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    創新菜",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b5f41bfe122a497f83d58e73e21df431.jpg,米其林推薦
台南,川泰號虱目魚丸,"中西區大同路一段222號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 216 0928,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ff79f3e974f441698da071c6a68465ec.jpeg,米其林推薦
台南,啢啢餐桌,"北區民德路85巷63號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    時尚歐陸菜",+886 916 786 592,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6daede4bf2534ef8bd456f0805bb2d02.jpeg,米其林推薦
台南,傳家鹹粥,"安平區慶平路410號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 293 6960,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/dcca3e1163464c968903244384c5e1b9.jpeg,米其林推薦
台南,欣欣餐廳,"中西區民族路二段245號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 6 222 2509,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/9643034590e44b058d2990d3f9fe9ffe.jpeg,米其林推薦
台南,黃家蝦捲,"中西區西和路268號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 350 6209,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/cc214fead78e4b97a797882b10bea799.jpeg,必比登推介
台南,葉家小卷米粉,"中西區國華街二段142號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 222 6142,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/81fea1a468484a4b8678b46477f7b725.jpg,必比登推介
台南,阿明豬心冬粉 (保安路),"中西區保安路72號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 223 3741,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/052d971aa204469292fbe004b38ab12f.jpeg,米其林推薦
高雄,廖記米糕,"橋頭區橋南路119號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 612 8319,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f18292f2bfa24462983fb44fd00cf85c.jpg,必比登推介
台南,原則,"北區西華街34號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    時尚法國菜",+886 6 222 3244,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2951b0530ea34deca517a0d0fecf377e.jpeg,米其林推薦
台南,黑琵食堂,"七股區十份里海埔17之18號, Tainan, 724, 臺灣","$$
                                    ·
                                

                                
                                    海鮮",+886 928 300 155,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a9a068724dc7494da88708fbeacae4d2.jpeg,必比登推介
台南,謝掌櫃,"安平區運河路23巷5號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    小吃",+886 6 221 3215,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/69b4f877639a404aa3f92c9dd15ced5c.jpeg,必比登推介
台南,阿裕牛肉 (崑崙路),"仁德區崑崙路733之1號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    火鍋",+886 6 279 5500,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b315f22b0e594070a68dd6a2bef0e685.jpeg,米其林推薦
台南,香草小餐酒,"安平區永華路二段950號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    時尚歐陸菜",+886 6 299 0011,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6e11baa45df647d4ab6736333539bdc6.jpeg,米其林推薦
台南,誠實鍋燒意麵,"中西區西門路一段702巷12號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    麵食",+886 968 617 018,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d30e4f78e0a34ce28c0c59f939b88498.jpeg,必比登推介
台南,毛蔬,"東區府東街43號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    素食",+886 6 209 4699,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/bbfe801b08344e55b8f3014e06c5d4d4.jpg,米其林推薦
台南,阿星鹹粥,"中西區民族路三段289號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    粥品",+886 6 220 0941,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/fd8f169affc348fd99e584956e60bb5f.jpeg,必比登推介
台南,沙淘宮廟海產,"中西區西門路二段86號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    臺灣菜",+886 6 228 8321,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/fc1d8bb2e3c54c4c923e13a6cbbd193f.jpeg,米其林推薦
台南,一味品,"中西區國華街三段177-179號 (永樂市場攤號111及112), Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 228 8563,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/24171b99cc9246f2b807a5264f395433.jpeg,必比登推介
台南,西羅殿牛肉湯,"北區公園南路98號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 229 4056,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5e9d8315005b44a3b544ff7d20a67f32.jpeg,必比登推介
台南,牛五蔵,"安平區建平路577號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    火鍋",+886 6 297 0709,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6d922499b6584a4e94586021172375f2.jpeg,米其林推薦
台南,順德牛肉湯,"學甲區民權路59號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    小吃",+886 6 782 0161,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/596c057701684792b9019844676e5bda.jpeg,米其林推薦
台南,開元紅燒土魠魚羮,"北區開元路307號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 237 3195,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1573f0a6bc944a018e2808e7da4575e7.jpeg,必比登推介
台南,阿村牛肉湯 (保安路),"中西區保安路41號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 229 3908,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5d06294d9d654501999f5bc641d2f6d2.jpeg,米其林推薦
台南,三好一公道當歸鴨,"中西區府前路一段2號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 220 6858,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a766d15a9295435b8327366416340d35.jpeg,必比登推介
高雄,橋仔頭黃家肉燥飯 (橋頭),"橋頭區橋南路106號, Kaohsiung, 825, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 612 3253,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e10ea55c7808415d8e7edd92621e4679.jpeg,必比登推介
高雄,湖東牛肉館,"湖內區中山路一段107號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 693 0466,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6aaa699576b74b9cae61f42107071e94.jpeg,必比登推介
台南,大勇街無名鹹粥,"中西區大勇街85號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    粥品",+886 6 226 7028,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/067fbbaa26264b2898785ddcc7666733.jpeg,必比登推介
台南,甘旨,"東區崇仁街58號, Tainan, 臺灣","$$$$
                                    ·
                                

                                
                                    日本菜",+886 6 267 8818,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0ce9d50cdad24690b4b0cbc7d34602f1.jpg,米其林推薦
台南,橄饗家,"安平區安北路590號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    西班牙菜",+886 6 391 1687,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/efccf24890364e319106c32f91306576.jpg,米其林推薦
台南,阿美飯店,"中西區民權路二段98號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 6 222 2848,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/08473715b59946218eaf3c4eb4d1bb39.jpeg,必比登推介
台南,錦霞樓,"東區中華東路一段366號2樓 (南紡購物中心), Tainan, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 6 300 6789,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ad13cb63f19f48deacc720a735ced1a8.jpeg,米其林推薦
台南,吃麵吧,"中西區保安路159之1號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    麵食",+886 6 223 1665,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e5a7fd287e88405b950c257811219058.jpeg,必比登推介
台南,筑馨居,"中西區信義街69號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 6 221 8890,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8b9ba087c50e40aa96b1d3c4ab768266.jpeg,必比登推介
台南,阿文米粿,"中西區保安路74號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 906 884 704,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a6d964236b4b4df2a1a4e3585c7cfd71.jpeg,必比登推介
台南,有你真好 湘菜沙龍,"中西區五妃街203號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    湘菜",+886 6 215 7977,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/699d2fbd808c41bf958adc673f807835.jpeg,米其林推薦
台南,無名羊肉湯,"中西區府前路二段144號, Tainan, 700, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 934 130 019,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0a3442af11fc44acbdc543b03746a3a5.jpeg,必比登推介
高雄,溫度劑,"岡山區公園東路50號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    創新菜",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8d07577eb03b4b45bc7eaabf6ab6fb8d.jpeg,米其林推薦
台南,好農家米糕,"南區健康路二段66號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 221 7181,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b965d154467e41ea9891a2cdeb553c26.jpeg,必比登推介
台南,城邊真味炒鱔魚專家,"東區東門路一段235號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    小吃",+886 6 209 1235,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d346227ac86f4b7797c38e44edd44253.jpeg,米其林推薦
高雄,舊市羊肉 (岡山),"岡山區河華路111號, Kaohsiung, 820, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 625 8151,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/25e90f760cdf40bc81dfc6fd37d19b73.jpeg,必比登推介
台南,饕弄杯,"東區東榮街115巷47號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    時尚歐陸菜",+886 6 237 0355,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b7f23ce765ed4623bfed6e8890098140.jpeg,米其林推薦
台南,田媽媽 長盈海味屋,"北門區三寮灣慈安里484號, Tainan, 727, 臺灣","$$
                                    ·
                                

                                
                                    小吃",+886 917 549 736,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f602571ac0f2447da9685d489889862c.jpeg,必比登推介
台南,東香台菜海味料理,"安南區安中路六段217號, Tainan, 709, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 6 257 3888,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b62f36409a7346e3b82e1b25a23f18b0.jpeg,必比登推介
未知,鮨 嘉仁,"中山區吉林路28號, Taipei, 104, 臺灣","$$$$
                                    ·
                                

                                
                                    壽司",+886 2 2581 8999,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c225ae25fa834e87a408fc1d58ff5c05.jpg,米其林推薦
台南,小公園擔仔麵,"中西區西門路二段321號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    麵食",+886 6 226 5495,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6d31804a7e874087abcc23ed641718ef.jpeg,必比登推介
未知,同,"中正區館前路22號2樓 (正旅館藍), Taipei, 臺灣","$$
                                    ·
                                

                                
                                    粵菜, 時尚菜",+886 976 684 366,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/91187013afd547e886b960ad994e9069.jpeg,米其林推薦
台南,落成米糕,"中西區民族路二段241號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 228 0874,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1a4e5826a81543f9abcb75de372ecbd4.jpeg,必比登推介
高雄,白玉樓,"前鎮區中華五路789號6樓 (夢時代), Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 841 8555,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c95b690315fa4afebdc5c0b14de1f8d6.jpeg,米其林推薦
台南,蓮霧腳羊肉湯,"新化區中正路361號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 937 789 004,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3e0b59548cfe428eb686593d8e6a4dce.jpeg,米其林推薦
台南,川泰號虱目魚丸,"中西區大同路一段222號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 216 0928,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ff79f3e974f441698da071c6a68465ec.jpeg,米其林推薦
未知,天婦羅 杉村,"中山區樂群二路199號2樓 (中城廣場), Taipei, 臺灣","$$$$
                                    ·
                                

                                
                                    天婦羅",+886 2 8501 1157,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4c9b579489d04189a09081232dd286ea.jpg,米其林推薦
台南,繭 小料理,"中西區府前路二段206巷6號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    創新菜",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b5f41bfe122a497f83d58e73e21df431.jpg,米其林推薦
台南,欣欣餐廳,"中西區民族路二段245號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 6 222 2509,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/9643034590e44b058d2990d3f9fe9ffe.jpeg,米其林推薦
台南,阿明豬心冬粉 (保安路),"中西區保安路72號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 223 3741,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/052d971aa204469292fbe004b38ab12f.jpeg,米其林推薦
台南,傳家鹹粥,"安平區慶平路410號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 293 6960,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/dcca3e1163464c968903244384c5e1b9.jpeg,米其林推薦
台南,啢啢餐桌,"北區民德路85巷63號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    時尚歐陸菜",+886 916 786 592,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6daede4bf2534ef8bd456f0805bb2d02.jpeg,米其林推薦
台南,豐之海鮮漁府,"將軍區長沙里146之10號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    海鮮",+886 6 793 0637,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e29e3cbb78e54c6c92a4f5fb40439d06.jpeg,米其林推薦
台南,黃家蝦捲,"中西區西和路268號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 350 6209,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/cc214fead78e4b97a797882b10bea799.jpeg,必比登推介
台南,葉家小卷米粉,"中西區國華街二段142號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 222 6142,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/81fea1a468484a4b8678b46477f7b725.jpg,必比登推介
台南,誠實鍋燒意麵,"中西區西門路一段702巷12號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    麵食",+886 968 617 018,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d30e4f78e0a34ce28c0c59f939b88498.jpeg,必比登推介
